,Rk,Player,Pos,MP,Starts,Min,90s,Gls,Ast,NPG,PG,PA_x,YC,RC,Gls/90,Ast/90,G+A/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,SCA,SCA/90,SCPass,SCDeadPass,SCDrib,GCA,GCA/90,GCPass,GCDeadPass,GCDrib,PossTkl,TklDef3rd,TklMid3rd,TklAtt3rd,DriblTkl%,DriblledPast,%SuccPress,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,ShotBlocks,Interception,Clearances,GoalErrors,TCP,PA_y,TotDist,PrgDist,TSPC,SPA,TMPC,MPA,TLPC,LPA,KeyP,Pass18,Cross18,ProgPass,Live,Dead,FKPass,PressPass,Cross,LeftP,RightP,Touches,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,SuccDrib,AtmpDrib,Nutnegs,Carries,TotDistCarry,PrgDistCarry,CarryAtt3rd,Carry18Yd,CarryDIsp
508,447,Christos Tzolis,"FW,MF",9,3,285,3.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.8,1.2,0.14,0.25,0.39,0.14,0.39,9,2.84,9,0,0,0,0.0,0,0,0,2,2,3,0,30.0,7,19.2,19,14,19,1,0,2,1,0,60,80,1036,255,29,34,23,27,6,13,6,2,1,6,79,1,0,36,9,17,58,113,17,46,57,16,0,3,0,87,514,329,6,6,4
509,448,Yan Valery,DF,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,42.9,1,5,1,3,2,4,2,0,19,26,347,88,8,10,8,11,2,4,0,0,0,1,26,0,0,7,0,1,23,35,10,21,6,0,0,0,0,21,120,54,1,0,0
510,449,Raphaël Varane,DF,9,8,745,8.3,0,1,0,0,0,0,0,0.0,0.12,0.12,0.2,0.2,0.1,0.4,0.03,0.01,0.04,0.03,0.04,6,0.72,5,0,0,1,0.12,1,0,0,9,6,5,2,53.8,6,39.1,46,21,2,14,5,17,49,0,412,457,9426,2756,88,89,242,261,80,101,2,0,0,23,441,16,15,36,0,159,263,551,272,303,20,6,1,3,1,336,2566,1466,6,0,1
511,450,Jamie Vardy,FW,16,15,1321,14.7,9,1,9,0,0,2,0,0.61,0.07,0.68,6.2,6.2,1.3,7.5,0.42,0.09,0.51,0.42,0.51,27,1.84,24,0,1,2,0.14,1,0,1,1,0,2,0,0.0,3,25.9,11,76,102,8,1,5,10,0,138,193,2222,476,67,90,56,75,8,13,16,15,2,21,166,27,0,38,15,40,126,291,23,125,164,72,8,13,0,160,1058,662,10,17,8
512,451,Joël Veltman,DF,15,14,1209,13.4,0,1,0,0,0,4,0,0.0,0.07,0.07,0.2,0.2,0.8,1.0,0.01,0.06,0.08,0.01,0.08,19,1.41,15,2,1,2,0.15,2,0,0,23,28,17,2,53.3,14,29.9,84,57,16,28,5,30,31,0,567,734,10964,4514,205,228,295,362,58,108,10,8,3,53,620,114,11,80,17,114,465,890,346,394,207,13,7,15,0,501,2473,1025,11,1,8
513,452,Jannik Vestergaard,DF,8,5,475,5.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.01,0.02,0.01,0.02,3,0.57,3,0,0,0,0.0,0,0,0,10,12,2,0,42.9,8,40.4,40,12,0,13,9,13,39,1,264,285,5870,1738,74,77,141,148,45,54,1,0,0,12,276,9,9,29,0,81,193,358,215,148,8,3,3,3,0,225,1134,491,3,0,0
514,453,Nikola Vlašić,"FW,MF",9,2,221,2.5,1,0,1,0,0,0,0,0.41,0.0,0.41,0.8,0.8,0.2,1.0,0.31,0.09,0.41,0.31,0.41,7,2.85,6,0,0,0,0.0,0,0,0,7,2,6,0,11.1,8,17.3,18,30,27,2,0,3,1,0,71,91,1048,170,45,49,23,30,2,6,4,3,0,7,90,1,1,29,5,21,63,123,19,60,54,13,3,5,1,95,561,311,6,3,6
515,454,Matěj Vydra,FW,15,2,359,4.0,1,1,1,0,0,0,0,0.25,0.25,0.5,1.9,1.9,0.2,2.1,0.48,0.05,0.53,0.48,0.53,6,1.5,5,0,0,1,0.25,1,0,0,4,0,1,4,50.0,2,24.7,5,33,47,2,1,2,7,0,36,55,404,83,23,35,9,11,0,1,3,0,0,2,55,0,0,15,2,4,30,112,11,24,80,26,4,7,0,64,175,62,0,0,7
516,455,Theo Walcott,MF,8,5,378,4.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.17,0.01,0.18,0.17,0.18,4,0.95,4,0,0,1,0.24,1,0,0,3,2,1,2,60.0,2,22.1,20,33,24,5,0,7,1,0,60,84,823,138,36,42,21,31,2,4,1,1,0,3,83,1,0,13,4,6,69,127,26,45,62,18,1,2,0,78,363,153,3,2,3
517,456,Kyle Walker,DF,12,12,1035,11.5,0,1,0,0,0,1,0,0.0,0.09,0.09,0.2,0.2,0.7,0.8,0.01,0.06,0.07,0.01,0.07,23,2.0,21,0,0,3,0.26,3,0,0,11,9,4,1,50.0,8,33.0,32,48,11,11,4,12,11,0,889,998,17533,4800,346,368,418,453,121,163,6,11,2,53,910,88,13,72,12,23,855,1064,225,696,206,9,5,9,0,787,3226,1325,21,4,4
518,457,Kyle Walker-Peters,DF,15,13,1168,13.0,0,2,0,0,0,5,0,0.0,0.15,0.15,0.2,0.2,1.5,1.7,0.02,0.11,0.13,0.02,0.13,30,2.31,20,0,2,4,0.31,2,0,0,13,12,14,3,47.4,10,33.1,57,65,32,21,2,29,25,0,478,601,8049,2956,246,283,192,232,37,65,12,20,1,70,484,117,7,84,17,56,405,769,187,373,268,37,19,29,0,484,3224,2107,31,13,20
519,458,Aaron Wan-Bissaka,DF,15,15,1343,14.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,0.0,0.04,0.05,0.0,0.05,25,1.68,21,0,2,1,0.07,1,0,0,18,14,9,5,40.0,6,27.3,71,52,31,45,11,27,39,0,711,843,10703,3467,422,457,231,267,39,75,11,10,6,39,716,127,10,98,20,45,658,1015,344,468,275,16,26,41,4,662,3106,1826,27,4,17
520,459,Joel Ward,DF,19,19,1710,19.0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,0.02,0.02,0.04,0.02,0.04,11,0.58,9,2,0,1,0.05,1,0,0,18,21,13,0,48.6,18,28.8,107,69,29,40,8,33,68,1,950,1174,17843,6417,401,455,432,490,109,200,5,13,4,54,958,216,28,116,23,72,855,1384,542,660,259,10,11,19,0,806,3894,2042,23,1,18
521,460,James Ward-Prowse,MF,17,17,1505,16.7,5,1,2,3,3,2,1,0.3,0.06,0.36,3.2,0.9,2.3,3.2,0.19,0.14,0.33,0.05,0.19,46,2.75,25,18,0,2,0.12,1,1,0,15,10,11,4,18.9,30,30.4,79,142,42,26,7,26,18,0,708,911,13119,4152,302,326,303,348,90,211,30,6,3,57,763,148,51,117,27,83,771,1064,197,582,326,15,11,15,0,573,2006,893,11,2,17
522,461,Ollie Watkins,FW,16,15,1362,15.1,5,1,5,0,0,3,0,0.33,0.07,0.4,5.4,5.4,1.0,6.5,0.36,0.07,0.43,0.36,0.43,34,2.25,23,0,3,4,0.26,1,0,0,7,2,3,3,0.0,6,27.0,20,100,113,26,1,8,12,0,268,367,3793,684,168,209,71,102,15,25,14,10,0,27,352,15,1,96,11,52,263,567,34,245,317,91,16,29,0,359,1515,919,14,20,45
523,462,Adam Webster,DF,10,9,717,8.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,5,0.63,5,0,0,1,0.13,1,0,0,7,12,2,2,53.3,7,31.1,38,16,7,19,9,12,34,1,507,606,10473,3887,151,172,283,312,66,105,0,1,0,42,584,22,9,69,3,112,418,695,346,336,83,2,5,6,0,437,2520,1603,20,1,3
524,463,Danny Welbeck,"FW,MF",6,3,295,3.3,2,0,2,0,0,0,0,0.61,0.0,0.61,0.5,0.5,0.0,0.5,0.15,0.0,0.15,0.15,0.15,3,0.92,1,0,0,0,0.0,0,0,0,2,0,2,1,0.0,2,24.1,11,25,22,6,0,0,2,0,49,57,581,86,36,36,8,11,3,4,0,1,0,2,56,1,0,19,0,2,46,105,8,41,63,13,4,8,0,67,295,178,1,4,12
525,464,Timo Werner,FW,9,6,545,6.1,1,1,1,0,0,1,0,0.17,0.17,0.33,3.2,3.2,0.2,3.4,0.53,0.03,0.56,0.53,0.56,9,1.49,6,0,1,2,0.33,2,0,0,0,0,0,2,0.0,13,25.6,20,36,65,5,0,2,2,0,97,140,1290,228,62,76,29,39,2,7,2,4,0,9,135,5,0,29,14,21,110,212,14,83,133,50,5,14,0,166,1003,564,6,11,9
526,465,Ashley Westwood,MF,15,15,1329,14.8,0,3,0,0,0,5,0,0.0,0.2,0.2,0.5,0.5,2.7,3.1,0.03,0.18,0.21,0.03,0.21,36,2.44,22,12,0,7,0.47,5,2,0,16,5,14,1,43.8,9,22.4,68,142,40,9,3,29,11,0,533,740,11176,3744,204,232,211,269,110,213,21,23,2,65,645,95,25,92,21,38,671,845,144,500,235,14,6,11,0,469,1893,888,13,1,8
527,466,Ben White,DF,18,18,1620,18.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.01,0.01,0.02,0.01,0.02,13,0.72,11,0,0,1,0.06,1,0,0,16,18,6,1,45.5,12,37.9,70,46,8,30,15,40,58,0,767,902,16248,5134,221,245,421,454,119,183,6,2,0,42,871,31,21,106,3,75,752,1072,550,549,52,7,6,14,2,705,3979,2188,13,1,8
