,Rk,Player,Pos,MP,Starts,Min,90s,Gls,Ast,NPG,PG,PA_x,YC,RC,Gls/90,Ast/90,G+A/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,SCA,SCA/90,SCPass,SCDeadPass,SCDrib,GCA,GCA/90,GCPass,GCDeadPass,GCDrib,PossTkl,TklDef3rd,TklMid3rd,TklAtt3rd,DriblTkl%,DriblledPast,%SuccPress,PressDef3rd,PressMid3rd,PressAtt3rd,Blocks,ShotBlocks,Interception,Clearances,GoalErrors,TCP,PA_y,TotDist,PrgDist,TSPC,SPA,TMPC,MPA,TLPC,LPA,KeyP,Pass18,Cross18,ProgPass,Live,Dead,FKPass,PressPass,Cross,LeftP,RightP,Touches,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,SuccDrib,AtmpDrib,Nutnegs,Carries,TotDistCarry,PrgDistCarry,CarryAtt3rd,Carry18Yd,CarryDIsp
61,62,Timothy Castagne,DF,16,12,1273,14.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.0,0.03,0.03,0.0,0.03,14,0.99,11,2,0,1,0.07,0,0,0,11,16,16,5,50.0,15,27.6,95,98,24,35,5,25,41,2,562,707,9420,3516,290,336,214,266,49,81,6,7,1,39,591,116,6,113,10,67,460,878,341,404,176,13,11,14,0,461,1916,994,13,1,13
62,63,Craig Cathcart,DF,16,16,1373,15.3,0,1,0,0,0,3,0,0.0,0.07,0.07,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3,0.2,3,0,0,0,0.0,0,0,0,7,12,2,0,25.0,12,29.4,70,29,3,36,20,23,73,1,394,510,9160,2731,106,120,193,232,94,149,0,3,1,25,462,48,7,62,3,100,301,656,345,287,44,4,0,0,0,279,1200,558,3,0,2
63,64,Edinson Cavani,FW,8,4,438,4.9,2,0,2,0,0,0,0,0.41,0.0,0.41,2.4,2.4,0.2,2.6,0.49,0.04,0.53,0.49,0.53,4,0.82,2,0,0,1,0.21,0,0,0,2,0,2,1,60.0,2,35.5,11,24,27,5,0,7,3,0,97,123,1400,133,64,72,23,34,6,11,2,1,0,5,123,0,0,18,1,26,82,167,25,66,80,22,4,4,0,88,195,41,1,2,3
64,65,Trevoh Chalobah,DF,14,11,909,10.1,2,0,2,0,0,1,0,0.2,0.0,0.2,0.6,0.6,0.0,0.6,0.06,0.0,0.06,0.06,0.06,3,0.3,3,0,0,0,0.0,0,0,0,14,8,12,4,66.7,6,36.0,40,61,10,15,8,27,38,1,607,673,11319,3435,243,261,294,315,67,90,0,3,0,33,653,20,16,56,1,30,588,795,305,432,99,7,8,10,0,542,2224,1104,13,0,5
65,66,Calum Chambers,DF,2,2,170,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07,1,0.53,1,0,0,0,0.0,0,0,0,1,2,0,0,33.3,2,20.8,18,5,1,11,3,3,7,1,81,98,1499,490,35,38,36,42,10,17,1,1,1,9,83,15,4,10,2,4,76,122,49,61,17,1,0,0,0,71,239,106,2,0,2
66,67,Ben Chilwell,DF,6,6,540,6.0,3,1,3,0,0,0,0,0.5,0.17,0.67,1.2,1.2,0.9,2.1,0.19,0.15,0.35,0.19,0.35,21,3.5,11,7,1,1,0.17,0,1,0,5,3,6,1,0.0,5,33.7,34,36,22,10,0,6,15,1,265,343,4206,1154,134,146,109,131,16,47,10,6,1,13,265,78,10,53,10,235,51,422,93,144,203,28,2,5,0,240,1082,514,4,5,3
67,68,Hamza Choudhury,MF,3,2,134,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.67,0,0,0,0,0.0,0,0,0,1,1,4,0,66.7,1,10.3,7,19,3,3,0,6,2,0,42,56,713,137,23,29,14,17,5,8,0,0,0,3,54,2,1,18,0,3,39,75,26,52,1,0,1,1,0,38,80,11,0,0,2
68,69,Andreas Christensen,DF,13,11,1001,11.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.03,0.01,0.04,0.03,0.04,4,0.36,3,0,1,0,0.0,0,0,0,9,6,2,2,66.7,2,36.4,61,34,4,23,8,43,67,0,716,790,14686,4293,236,254,347,375,123,146,3,5,0,47,768,22,20,98,0,40,695,918,447,463,52,3,4,4,0,587,2521,1351,12,0,0
69,70,Carney Chukwuemeka,"MF,FW",5,1,124,1.4,0,1,0,0,0,0,0,0.0,0.73,0.73,0.4,0.4,1.0,1.4,0.31,0.72,1.03,0.31,1.03,2,1.45,2,0,0,1,0.73,1,0,0,0,0,1,0,33.3,2,18.4,13,21,4,2,0,3,0,0,36,44,571,54,16,21,17,17,2,2,2,0,0,0,44,0,0,7,0,4,38,63,8,33,25,8,2,6,0,55,208,101,1,3,2
70,71,Ciaran Clark,DF,12,12,991,11.0,0,1,0,0,0,2,1,0.0,0.09,0.09,0.8,0.8,0.3,1.1,0.07,0.03,0.1,0.07,0.1,5,0.45,4,0,0,1,0.09,1,0,0,13,9,6,2,60.0,6,36.0,52,19,4,14,10,14,48,0,273,344,5276,1564,89,102,147,167,32,65,4,1,1,15,336,8,6,37,3,244,58,443,255,171,34,21,3,4,0,246,1138,497,4,0,0
71,72,Tom Cleverley,MF,13,9,726,8.1,0,2,0,0,0,1,0,0.0,0.25,0.25,0.3,0.3,1.3,1.6,0.04,0.16,0.2,0.04,0.2,25,3.1,14,7,0,3,0.37,2,1,0,12,6,8,3,33.3,8,31.9,27,81,36,10,5,9,7,0,222,307,3921,1225,101,121,86,104,27,68,13,9,4,22,254,53,19,48,14,40,237,372,65,162,155,5,0,1,0,175,595,257,3,2,8
72,73,Nathaniel Clyne,DF,2,1,91,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,1,2,1,0,25.0,3,44.4,6,2,1,2,1,2,2,0,29,43,456,256,16,17,12,18,1,7,0,0,0,0,29,14,1,7,0,2,26,54,27,21,9,0,0,0,0,19,79,34,1,0,0
73,74,Conor Coady,DF,19,19,1706,19.0,1,0,1,0,0,1,0,0.05,0.0,0.05,1.1,1.1,0.0,1.1,0.06,0.0,0.06,0.06,0.06,4,0.21,4,0,0,0,0.0,0,0,0,11,12,4,0,47.1,9,38.5,73,26,5,32,24,20,81,0,683,770,17728,5259,101,108,380,401,199,250,0,2,0,17,745,25,24,62,2,23,713,925,601,351,18,11,1,1,0,563,2768,1409,1,0,1
74,75,Séamus Coleman,DF,14,14,1260,14.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.2,0.2,0.7,0.9,0.01,0.05,0.06,0.01,0.06,22,1.57,18,1,0,3,0.21,2,0,0,21,19,13,8,64.5,11,35.3,72,72,26,23,4,27,32,1,499,679,9025,4455,225,258,206,279,62,124,6,15,6,51,514,165,9,93,28,106,366,841,273,396,224,27,12,25,0,465,2560,1384,21,6,18
75,76,Nathan Collins,DF,5,5,450,5.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.01,0.09,0.1,0.01,0.1,3,0.6,3,0,0,0,0.0,0,0,0,9,10,2,0,40.0,3,40.9,29,11,4,16,8,12,25,0,115,160,2496,933,36,42,51,63,25,48,3,1,0,8,157,3,2,31,0,14,111,223,126,93,10,7,0,1,0,91,465,170,0,0,1
76,77,Aaron Connolly,FW,4,1,156,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5,0.5,0.4,0.8,0.26,0.2,0.47,0.26,0.47,2,1.15,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,18.5,4,11,12,2,0,0,0,0,15,18,212,10,9,11,6,7,0,0,1,0,0,0,17,1,0,6,1,1,15,34,0,14,21,4,0,1,0,22,131,40,0,0,1
77,78,Liam Cooper,DF,15,15,1274,14.2,0,1,0,0,0,4,0,0.0,0.07,0.07,0.2,0.2,0.0,0.3,0.02,0.0,0.02,0.02,0.02,7,0.49,5,0,0,2,0.14,1,0,0,13,16,12,1,57.1,9,36.1,93,61,4,26,15,26,85,2,741,847,16359,4874,188,204,425,446,124,186,2,0,0,34,822,25,21,83,1,664,99,1018,673,378,26,9,3,3,0,612,3466,1996,2,0,2
78,79,Jack Cork,MF,8,8,641,7.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.02,0.01,0.02,4,0.56,3,0,0,0,0.0,0,0,0,4,2,5,2,30.8,9,30.1,38,73,35,12,2,12,11,0,133,188,2112,488,78,104,36,50,14,23,1,1,0,9,186,2,0,40,3,23,129,255,49,149,70,3,6,8,0,138,593,258,7,1,12
79,80,Maxwel Cornet,"FW,MF",10,8,607,6.7,6,0,6,0,0,2,0,0.89,0.0,0.89,2.0,2.0,0.5,2.5,0.29,0.08,0.38,0.29,0.38,9,1.33,7,0,0,2,0.3,1,0,0,6,2,3,3,50.0,2,27.0,13,48,39,2,2,5,5,0,87,139,1353,320,51,73,29,41,6,16,5,6,2,11,132,7,0,41,7,87,29,219,38,79,115,26,6,13,0,135,624,293,4,3,12
80,81,Hélder Costa,MF,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,2,22.2,1,5,3,0,0,0,0,0,4,4,65,0,3,3,1,1,0,0,0,0,0,0,4,0,0,1,0,3,1,6,1,3,2,0,0,0,0,2,6,0,0,0,0
81,82,Vladimír Coufal,DF,17,14,1274,14.2,0,2,0,0,0,3,1,0.0,0.14,0.14,0.3,0.3,1.7,2.0,0.02,0.12,0.14,0.02,0.14,33,2.33,24,7,0,4,0.28,4,0,0,16,15,9,6,40.0,12,29.5,93,69,31,28,3,14,48,0,546,793,9465,4637,245,295,243,325,49,141,12,19,8,63,626,167,12,76,50,68,494,939,281,369,348,18,8,11,0,472,2666,1359,25,6,7
82,83,Aaron Cresswell,DF,13,13,1140,12.7,1,1,1,0,0,0,0,0.08,0.08,0.16,0.4,0.4,1.4,1.8,0.03,0.11,0.14,0.03,0.14,26,2.05,14,10,0,2,0.16,1,1,0,8,9,4,2,50.0,5,35.6,49,31,7,18,7,12,32,0,691,869,12767,5514,290,315,308,353,82,170,17,13,4,83,714,155,26,86,26,677,59,970,271,475,287,8,0,4,0,576,2764,1391,28,0,5
83,84,Charlie Cresswell,DF,4,1,95,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,2,2,2,0,100.0,0,19.0,10,11,0,1,1,3,6,0,53,70,1178,374,13,14,29,31,11,25,0,0,0,4,70,0,0,6,0,6,59,84,61,29,2,0,1,1,0,57,481,309,0,0,0
84,85,Cucho,"FW,MF",14,6,656,7.3,2,1,2,0,0,0,0,0.27,0.14,0.41,0.9,0.9,1.2,2.2,0.13,0.17,0.3,0.13,0.3,26,3.57,16,4,2,3,0.41,1,1,0,2,3,2,0,5.9,16,23.0,42,54,43,10,0,6,2,0,145,234,2667,1122,63,88,55,80,21,47,15,10,6,21,210,24,4,55,18,32,168,320,52,132,165,20,16,25,0,211,1172,724,13,6,9
85,86,Marc Cucurella,DF,16,16,1379,15.3,0,1,0,0,0,3,0,0.0,0.07,0.07,0.2,0.2,1.3,1.5,0.02,0.08,0.1,0.02,0.1,36,2.35,32,2,1,1,0.07,1,0,0,22,12,19,6,57.9,16,33.3,103,99,41,36,5,21,28,0,848,1028,13427,5001,462,501,306,353,60,120,21,20,10,77,859,169,9,139,42,622,191,1186,329,527,403,28,18,26,2,722,3356,2044,25,4,13
86,87,Patson Daka,"FW,MF",7,2,290,3.2,2,3,2,0,0,0,0,0.62,0.93,1.55,1.9,1.9,1.4,3.3,0.58,0.43,1.01,0.58,1.01,11,3.41,9,0,1,6,1.86,4,0,1,3,1,2,2,0.0,2,35.3,7,23,21,2,0,1,1,0,43,59,618,159,28,36,14,19,1,2,4,3,0,7,57,2,0,18,2,15,33,109,12,46,56,16,2,7,0,63,215,136,2,2,7
87,88,Stuart Dallas,"DF,MF",19,19,1697,18.9,1,1,1,0,0,2,0,0.05,0.05,0.11,1.3,1.3,1.8,3.1,0.07,0.09,0.16,0.07,0.16,43,2.28,28,9,2,2,0.11,2,0,0,20,29,16,0,38.7,38,30.9,136,108,28,31,11,41,44,0,700,890,12721,4363,337,377,270,317,81,158,24,15,5,60,722,168,29,129,29,138,597,1106,353,525,311,18,10,19,2,631,3975,2341,39,9,24
88,89,Diogo Dalot,DF,9,4,463,5.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.05,0.04,0.08,0.05,0.08,9,1.75,8,1,0,2,0.39,2,0,0,7,5,4,3,44.4,5,38.3,25,24,11,4,2,11,13,0,227,297,4672,1735,84,102,105,128,37,60,3,10,3,29,230,67,3,41,20,30,181,356,90,174,120,12,3,11,0,182,940,558,9,4,7
89,90,Karl Darlow,GK,8,8,720,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,1,0,152,253,6707,4585,15,15,41,42,96,195,0,0,0,0,152,101,37,16,0,10,198,269,265,4,0,0,0,0,0,95,546,294,0,0,0
90,91,Ben Davies,DF,9,8,751,8.3,0,1,0,0,0,2,0,0.0,0.12,0.12,1.1,1.1,0.5,1.6,0.14,0.05,0.19,0.14,0.19,8,0.96,8,0,0,2,0.24,2,0,0,8,6,7,4,44.4,5,34.7,47,30,18,7,4,11,24,0,357,438,6830,2444,130,144,191,219,34,60,5,8,1,42,415,23,8,47,6,324,64,511,175,269,106,14,0,1,0,337,2167,1241,20,1,2
91,92,Tom Davies,MF,5,1,158,1.8,1,0,1,0,0,0,0,0.57,0.0,0.57,0.9,0.9,0.0,0.9,0.52,0.0,0.52,0.52,0.52,4,2.28,3,0,0,0,0.0,0,0,0,2,1,2,1,25.0,3,30.0,15,16,9,3,0,4,3,0,46,59,730,174,21,22,19,23,3,6,0,1,0,7,58,1,0,19,0,14,42,87,13,44,31,8,0,0,0,47,190,73,0,1,1
92,93,Keinan Davis,FW,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,0.0,0,0,1,0,0,0,0,0,3,3,49,30,1,1,2,2,0,0,0,0,0,1,3,0,0,0,0,2,0,7,0,5,2,0,0,0,0,6,5,1,0,0,1
93,94,Craig Dawson,DF,17,13,1253,13.9,0,1,0,0,0,3,0,0.0,0.07,0.07,1.2,1.2,0.5,1.6,0.08,0.03,0.12,0.08,0.12,4,0.29,3,0,0,1,0.07,1,0,0,8,9,4,0,30.0,7,33.0,54,34,3,29,24,17,64,1,434,530,10069,3428,118,127,209,234,103,158,3,1,0,28,519,11,11,72,1,25,438,674,365,306,39,22,1,1,0,372,1877,947,4,0,4
94,95,Kevin De Bruyne,MF,15,10,924,10.3,5,1,5,0,0,0,0,0.49,0.1,0.58,2.7,2.7,4.2,6.9,0.26,0.41,0.67,0.26,0.67,59,5.75,44,11,1,2,0.19,2,0,0,6,2,6,2,20.0,16,28.4,22,56,70,14,2,4,9,0,505,661,9417,2414,227,262,209,261,64,118,38,27,3,71,603,58,19,83,38,68,568,788,80,325,427,51,11,18,1,523,2288,1472,28,6,13
95,96,Troy Deeney,FW,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77,1,3.6,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1,28.6,1,2,4,0,0,0,3,0,3,6,38,16,2,4,1,1,0,0,1,0,0,1,6,0,0,1,0,0,3,11,2,1,8,5,0,0,0,3,7,4,0,0,0
96,97,Fabian Delph,MF,6,3,249,2.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.02,0.02,0.01,0.02,2,0.72,2,0,0,0,0.0,0,0,0,7,4,7,0,36.4,7,23.7,16,37,6,3,0,13,4,0,106,125,2250,584,50,54,33,39,23,29,1,1,0,13,122,3,2,31,1,76,43,161,49,100,21,0,4,5,0,99,487,198,0,0,2
97,98,Leander Dendoncker,"MF,FW",15,7,699,7.8,0,1,0,0,0,3,0,0.0,0.13,0.13,0.6,0.6,0.7,1.4,0.08,0.09,0.18,0.08,0.18,8,1.03,8,0,0,2,0.26,2,0,0,10,10,9,0,35.0,13,29.2,91,81,20,26,7,10,17,0,253,293,4422,893,119,134,99,110,29,35,5,2,0,16,289,4,3,52,2,51,206,388,125,197,84,9,1,4,0,209,679,269,4,0,6
98,99,Emmanuel Dennis,"FW,MF",17,16,1303,14.5,8,5,8,0,0,6,0,0.55,0.35,0.9,4.2,4.2,1.7,5.9,0.29,0.11,0.41,0.29,0.41,44,3.04,26,0,7,8,0.55,4,0,1,14,15,6,5,29.2,17,22.8,68,128,106,18,2,10,3,0,199,312,2790,829,131,172,49,82,11,25,17,9,3,24,296,16,0,91,16,40,228,553,72,215,304,78,25,67,11,373,1850,1181,14,24,32
99,100,Kiernan Dewsbury Hall,MF,9,4,438,4.9,0,2,0,0,0,1,0,0.0,0.41,0.41,0.6,0.6,0.4,1.0,0.12,0.08,0.2,0.12,0.2,15,3.08,13,0,1,1,0.21,1,0,0,11,12,1,2,28.6,10,26.2,56,39,12,10,4,8,9,0,197,257,3180,859,105,119,69,92,17,35,7,4,1,16,249,8,2,58,10,206,30,332,90,173,95,12,5,7,0,208,1194,635,6,1,13
100,101,Ibrahima Diallo,MF,13,5,595,6.6,0,1,0,0,0,0,0,0.0,0.15,0.15,0.3,0.3,0.5,0.8,0.05,0.08,0.13,0.05,0.13,17,2.57,14,0,2,2,0.3,2,0,0,11,7,6,3,31.3,11,31.5,48,75,23,2,0,6,3,0,215,263,3898,859,100,123,91,102,19,28,8,0,0,20,261,2,2,50,2,22,224,313,54,193,80,5,11,14,1,215,998,486,7,0,6
101,102,Raphael Dias Belloli,"MF,FW",17,17,1437,16.0,8,1,5,3,3,4,0,0.5,0.06,0.56,6.3,4.0,2.8,6.8,0.39,0.17,0.57,0.25,0.43,57,3.57,26,15,6,4,0.25,2,0,1,12,17,8,6,34.5,19,23.2,54,96,78,27,0,26,14,0,408,637,7475,3113,189,226,143,201,59,160,29,21,6,87,545,92,27,91,44,543,53,926,134,395,447,67,35,88,9,636,2965,1851,15,18,32
102,103,Rúben Dias,DF,20,19,1682,18.7,2,2,2,0,0,4,0,0.11,0.11,0.21,1.4,1.4,1.1,2.4,0.07,0.06,0.13,0.07,0.13,18,0.96,16,0,0,2,0.11,1,0,0,20,10,12,3,46.2,7,43.1,38,57,7,21,12,27,58,1,1429,1518,30473,8196,415,434,776,801,235,271,7,2,0,72,1481,37,25,96,4,243,1200,1667,615,1107,69,18,2,4,0,1232,7002,4391,15,0,2
103,104,Eric Dier,DF,18,18,1541,17.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4,0.4,1.3,1.7,0.02,0.08,0.1,0.02,0.1,17,0.99,13,0,0,2,0.12,1,0,0,7,5,7,1,33.3,4,38.8,49,33,3,27,17,30,84,0,901,1021,20204,7223,234,247,501,533,162,229,6,6,0,60,995,26,21,88,0,140,793,1177,690,528,31,10,0,1,0,746,4517,2576,9,0,0
104,105,Lucas Digne,DF,13,13,1170,13.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.4,0.4,1.7,2.1,0.03,0.13,0.16,0.03,0.16,33,2.54,22,9,1,0,0.0,0,0,0,17,26,5,4,73.3,8,26.7,80,50,31,28,5,31,30,0,487,678,8548,4277,219,262,211,268,42,104,20,12,4,49,515,163,23,90,34,464,29,823,273,318,284,15,6,12,0,399,2075,1141,25,2,10
105,106,Virgil van Dijk,DF,18,18,1620,18.0,1,1,1,0,0,2,0,0.06,0.06,0.11,1.4,1.4,0.1,1.5,0.08,0.0,0.08,0.08,0.08,13,0.72,9,0,0,2,0.11,2,0,0,9,8,6,0,88.9,1,30.5,33,23,3,20,13,24,88,0,1158,1270,26144,8624,305,325,625,645,219,287,3,3,0,58,1217,53,48,92,0,208,949,1437,713,744,42,23,0,1,0,877,3535,1879,3,0,1
106,107,Issa Diop,DF,6,6,540,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,1,0.17,1,0,0,0,0.0,0,0,0,2,2,3,0,0.0,5,42.4,23,10,0,10,7,7,22,0,179,216,3523,1260,64,69,94,105,20,41,0,0,0,3,210,6,4,20,0,46,149,263,163,112,4,2,0,0,0,131,692,305,1,0,0
107,108,Moussa Djenepo,MF,8,5,430,4.8,0,0,0,0,0,3,0,0.0,0.0,0.0,1.5,1.5,0.2,1.7,0.31,0.05,0.36,0.31,0.36,16,3.35,12,0,2,1,0.21,1,0,0,8,6,6,1,45.5,6,24.8,46,36,19,9,1,9,3,0,100,136,1566,656,59,69,29,41,10,17,6,8,2,20,135,1,1,24,6,22,108,235,44,93,110,25,13,26,1,172,922,628,6,7,14
108,109,Lewis Dobbin,"FW,MF",3,0,32,0.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,2,0,1,1,0.0,2,27.8,4,6,8,0,0,1,0,0,4,7,106,24,2,3,0,1,2,3,0,0,0,1,7,0,0,2,1,0,7,13,3,7,5,2,0,1,0,11,81,43,0,1,1
109,110,Matt Doherty,DF,4,0,102,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,0.6,0.11,0.71,0.6,0.71,5,4.41,4,0,1,0,0.0,0,0,0,2,1,2,0,25.0,3,41.2,10,7,0,1,0,2,3,0,66,84,1045,221,35,40,26,30,3,10,3,3,0,7,66,18,1,12,4,3,57,102,32,23,49,9,4,5,0,58,320,180,1,2,1
110,111,Gabriel Dos Santos,DF,17,17,1476,16.4,2,0,2,0,0,4,1,0.12,0.0,0.12,0.9,0.9,0.3,1.2,0.05,0.02,0.07,0.05,0.07,10,0.61,8,0,0,1,0.06,1,0,0,18,17,4,2,72.7,3,41.2,61,36,5,22,15,21,63,2,783,878,16637,4434,217,229,439,460,120,177,2,1,0,25,849,29,16,75,1,757,72,1019,607,440,37,17,2,2,0,700,4004,2114,10,0,0
111,112,Abdoulaye Doucouré,MF,14,14,1260,14.0,2,4,2,0,0,4,0,0.14,0.29,0.43,1.9,1.9,1.2,3.0,0.13,0.08,0.22,0.13,0.22,33,2.36,29,0,1,6,0.43,4,0,1,14,12,14,0,38.2,21,26.1,122,130,55,18,1,24,17,0,434,551,7585,1779,200,242,175,205,42,63,10,9,1,53,544,7,7,115,2,54,451,689,180,370,179,27,13,26,0,438,2255,1280,19,4,7
112,113,Kieran Dowell,"MF,FW",8,4,316,3.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,0.03,0.17,0.2,0.03,0.2,9,2.56,9,0,0,0,0.0,0,0,0,4,4,4,2,35.7,9,20.2,26,50,33,5,1,1,2,0,68,110,1145,272,41,53,17,26,8,24,6,5,3,5,99,11,3,29,9,74,18,141,18,58,70,7,3,5,0,87,359,178,3,2,5
113,114,Cody Drameh,DF,3,1,128,1.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,2,1.41,2,0,0,0,0.0,0,0,0,3,4,2,0,50.0,2,27.6,16,10,3,2,0,3,2,0,60,77,924,399,39,44,18,23,3,4,1,2,1,6,51,26,1,6,2,2,46,94,37,43,22,2,2,4,0,45,281,162,4,0,1
114,115,Martin Dúbravka,GK,7,7,630,7.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,,0,33.3,3,0,0,0,0,0,0,0,153,256,5904,3978,16,16,52,55,83,183,0,0,0,0,146,110,29,15,0,9,212,277,277,1,0,0,0,0,0,109,587,303,0,0,0
115,116,Shane Duffy,DF,14,12,1165,12.9,1,0,1,0,0,5,0,0.08,0.0,0.08,0.8,0.8,0.1,0.9,0.06,0.01,0.07,0.06,0.07,5,0.39,3,0,0,2,0.15,1,0,0,6,8,1,1,30.0,7,22.1,44,21,3,26,14,15,77,0,691,776,15843,4549,141,150,414,444,134,175,2,2,0,18,760,16,10,65,0,64,641,921,601,326,42,18,2,2,0,552,2205,1082,4,0,1
116,117,Lewis Dunk,DF,14,14,1260,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,0.03,0.01,0.04,0.03,0.04,6,0.43,6,0,0,0,0.0,0,0,0,7,8,5,1,40.0,3,38.8,45,30,5,23,15,26,57,0,916,1004,20857,5747,208,222,526,550,175,222,1,2,1,25,975,29,25,60,2,64,884,1123,673,481,37,10,2,2,0,747,3672,1834,3,0,3
117,118,Ederson,GK,20,20,1800,20.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.15,1,2,0,0,0.0,0,0,0,0,0,0,0,,0,0.0,3,0,0,0,0,0,0,1,527,582,13854,7785,96,96,269,269,160,214,0,0,0,1,482,100,18,41,0,376,104,614,607,8,0,0,0,0,0,372,1493,943,0,0,0
118,119,Odsonne Édouard,FW,17,12,1030,11.4,5,3,4,1,1,1,0,0.44,0.26,0.7,5.2,4.4,1.7,6.1,0.45,0.15,0.6,0.38,0.53,28,2.45,18,0,3,3,0.26,2,0,0,8,1,4,7,6.7,14,29.4,31,94,86,15,2,7,11,0,215,296,3063,651,137,169,65,93,9,14,13,8,1,26,278,18,0,90,6,28,224,471,47,225,230,65,19,43,3,300,1580,1023,15,7,33
119,120,Anthony Elanga,"FW,MF",2,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,1,1,1,0,100.0,0,10.0,2,5,3,1,0,1,0,0,8,11,132,27,5,7,2,2,1,1,0,0,0,0,11,0,0,4,0,0,8,18,3,7,8,0,0,0,0,6,57,11,0,0,0
120,121,Harvey Elliott,MF,4,3,250,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7,0.7,0.3,1.0,0.25,0.11,0.36,0.25,0.36,15,5.4,9,1,1,1,0.36,1,0,0,1,1,0,0,0.0,5,23.5,17,33,18,7,0,2,3,0,154,184,2598,742,79,89,61,71,14,18,4,5,1,26,177,7,0,13,5,167,11,223,18,108,113,17,2,7,0,164,742,429,10,2,1
121,122,Mohamed Elneny,MF,7,1,176,2.0,0,1,0,0,0,0,0,0.0,0.51,0.51,0.0,0.0,0.2,0.2,0.01,0.08,0.09,0.01,0.09,4,2.05,4,0,0,1,0.51,1,0,0,2,2,1,0,50.0,1,30.4,12,9,2,2,0,5,2,0,107,116,1987,399,46,49,40,43,18,18,4,1,0,2,115,1,0,8,0,6,105,131,33,78,29,3,0,1,0,100,453,177,0,0,0
